MOD_MAKER,MOD_MODEL,MOD_POWER,MOD_QNT,INV_MAKER,INV_POWER,INV_QNT,TOTAL_kWh,inv_total_power,kWp,ISF,CITY_IBGE,monocristalline,p_type,monofacial,TC_Isc,TC_Voc,TC_Pmax,module_efficiency,INV_MODEL,inv_max_efficiency,inv_Euro_efficiency,number_of_MPPTs,number_of_DC_inputs,DC_inputs_over_MPPTs,geocodigo,latitude,longitude,diffuse,direct_normal,global_horizontal,tilted_latitude,final_yield,hours_peak_sun,PR_GHI,CUF,total_number_of_MPPTs,total_number_of_DC_inputs,outliers,final_yield_estimated,Tmax_mean,Tmax_median,Tmax_min,Tmax_max,Tmax_sd,Tmax_var,Tmax_sum,Tmax_skew,Tmax_kurt,Tmin_mean,Tmin_median,Tmin_min,Tmin_max,Tmin_sd,Tmin_var,Tmin_sum,Tmin_skew,Tmin_kurt,prec_mean,prec_median,prec_min,prec_max,prec_sd,prec_var,prec_sum,prec_skew,prec_kurt,RH_mean,RH_median,RH_min,RH_max,RH_sd,RH_var,RH_sum,RH_skew,RH_kurt,WS_mean,WS_median,WS_min,WS_max,WS_sd,WS_var,WS_sum,WS_skew,WS_kurt
SUNOVA,SS-66MTF,505,10,GROWATT,5,1,6032.37,5,5.05,1.01,Alta Floresta D'Oeste,TRUE,TRUE,TRUE,0.045,-0.28,-0.35,21.27,MIN-2.5-6-TL-X,98.4,97.5,2,2,1,1100015,-11.9294661111111,-61.9964816666666,2150,3387,4635,4712,1194.528712871287,1691.775,70.60801305559468,13.77253424657534,2,2,FALSE,1311.5455866535851,32.58769607543945,32.40653610229492,18.32407569885254,38.51634216308594,2.773181200027466,7.690534591674805,11894.5087890625,-0.5967870354652405,4.519371509552002,21.277666091918945,21.571245193481445,10.599230766296387,24.75005340576172,1.9806597232818604,3.9230129718780518,7766.34814453125,-1.416190505027771,6.660239219665527,4.497533798217773,1.7441327571868896,0,40.980255126953125,6.788865089416504,46.08869171142578,1641.5997314453125,2.548064708709717,10.939558029174805,75.21302795410156,76.3779525756836,52.362205505371094,91.33858489990234,9.176626205444336,84.2104721069336,27452.755859375,-0.4186716377735138,2.13847017288208,0.9578254818916321,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3164581060409546,0.10014572739601135,349.6062927246094,1.3217777013778687,8.224748611450195
SUNOVA,SS-66MTF,505,10,GROWATT,6,1,5807,6,5.05,0.841666666666667,Alta Floresta D'Oeste,TRUE,TRUE,TRUE,0.045,-0.28,-0.35,21.27,MIN-2.5-6-TL-X,98.4,97.5,2,2,1,1100015,-11.9294661111111,-61.9964816666666,2150,3387,4635,4712,1149.90099009901,1691.775,67.97009000008924,11.048325722983257,2,2,FALSE,1311.5455866535851,32.58769607543945,32.40653610229492,18.32407569885254,38.51634216308594,2.773181200027466,7.690534591674805,11894.5087890625,-0.5967870354652405,4.519371509552002,21.277666091918945,21.571245193481445,10.599230766296387,24.75005340576172,1.9806597232818604,3.9230129718780518,7766.34814453125,-1.416190505027771,6.660239219665527,4.497533798217773,1.7441327571868896,0,40.980255126953125,6.788865089416504,46.08869171142578,1641.5997314453125,2.548064708709717,10.939558029174805,75.21302795410156,76.3779525756836,52.362205505371094,91.33858489990234,9.176626205444336,84.2104721069336,27452.755859375,-0.4186716377735138,2.13847017288208,0.9578254818916321,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3164581060409546,0.10014572739601135,349.6062927246094,1.3217777013778687,8.224748611450195
SUNOVA,SS-66MTF,505,12,GROWATT,5,1,9078,5,6.06,1.212,Cacoal,TRUE,TRUE,TRUE,0.045,-0.28,-0.35,21.27,MIN-2.5-6-TL-X,98.4,97.5,2,2,1,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1498.019801980198,1687.03,88.79627522807526,20.726027397260275,2,2,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
SUNOVA,SS-72MDH,550,25,SAJ,5,2,18216,10,13.75,1.375,Colorado do Oeste,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,21.28,R5-S2,98.1,97.6,2,2,1,1100064,-13.129307106881699,-60.550155242028296,2116,3565,4684,4781,1324.8,1709.66,77.48909139828972,20.794520547945204,4,4,FALSE,1325.410901377647,32.11480712890625,32.08182144165039,16.888484954833984,38.242897033691406,2.704080581665039,7.312051296234131,11721.904296875,-0.7613773345947266,5.425337791442871,20.983734130859375,21.16107749938965,9.0781888961792,25.41657829284668,2.0868308544158936,4.354862689971924,7659.0634765625,-1.67902672290802,8.62381362915039,4.857140064239502,1.496932864189148,0,87.3439712524414,8.911462783813477,79.41416931152344,1772.8560791015625,4.306299209594727,30.573333740234375,73.50447845458984,74.80314636230469,50.393699645996094,91.33858489990234,10.31137466430664,106.32444763183594,26829.134765625,-0.3210855722427368,1.906114935874939,1.0697875022888184,1.0629920959472656,0.29527559876441956,2.539370059967041,0.3850565552711487,0.14826855063438416,390.4724426269531,0.5370091795921326,3.5133168697357178
OSDA,ODA-525-550-36V-MH,550,20,GOODWE,6,2,12715.4,12,11,0.916666666666667,São Francisco do Guaporé,TRUE,TRUE,TRUE,0.045,-0.285,-0.35,21.28,GW-BD-NS,97.8,97.5,2,2,1,1101492,-12.0658433333333,-63.5691766666666,2114,3362,4582,4655,1155.9454545454546,1672.43,69.11771820318067,12.096080669710807,4,4,FALSE,1296.5484095030695,33.341121673583984,33.25251007080078,19.298227310180664,38.41379928588867,2.521050453186035,6.3556952476501465,12169.509765625,-0.660262942314148,5.0297980308532715,22.299856185913086,22.665029525756836,11.761375427246094,25.365306854248047,1.8039273023605347,3.2541539669036865,8139.44775390625,-1.8601765632629395,8.24541187286377,3.9996156692504883,1.0505996942520142,0,36.722923278808594,6.208956718444824,38.551143646240234,1459.8597412109375,2.2377662658691406,8.682051658630371,76.8741226196289,77.559051513671875,55.90550994873047,92.91338348388672,8.98568344116211,80.74250030517578,28059.0546875,-0.26045823097229004,1.8850961923599243,0.9575018882751465,0.9448819160461426,0.29527559876441956,2.5984251499176025,0.2629268765449524,0.069130539894104,349.4881896972656,1.1617333889007568,7.63339376449585
BYD,MLK-36,535,4,GOODWE,3,1,2821,3,2.14,0.713333333333333,Nova Brasilândia D'Oeste,TRUE,TRUE,TRUE,0.06,-0.3,-0.39,20.71,GW-B-XS,97.6,97.2,1,1,1,1100148,-11.7262866666667,-62.3176944444444,2154,3322,4597,4671,1318.2242990654204,1677.905,78.5637028953022,10.734398782343987,1,1,FALSE,1300.792893602272,32.72827911376953,32.56889724731445,18.529159545898438,38.55052185058594,2.730926752090454,7.457961082458496,11945.822265625,-0.5526556968688965,4.428772449493408,21.566165924072266,21.827600479125977,10.90685749053955,24.886775970458984,1.909236192703247,3.6451828479766846,7871.650390625,-1.5690112113952637,7.292647361755371,4.674110412597656,1.9363994598388672,0,52.735984802246094,6.904331207275391,47.6697883605957,1706.05029296875,2.62768816947937,12.944080352783203,76.181640625,77.16535186767578,52.362205505371094,91.73228454589844,9.333220481872559,87.10900115966797,27806.298828125,-0.427855908870697,2.1385414600372314,0.9172149896621704,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.30951571464538574,0.09579996764659882,334.7834777832031,1.0457087755203247,7.016848087310791
SUNOVA,SS-72MTF,550,63,SAJ,8,3,36679.78,24,34.65,1.44375,Colorado do Oeste,TRUE,TRUE,TRUE,0.048,-0.27,-0.35,21.52,R5-S2-3,98.3,97.8,2,3,1.5,1100064,-13.129307106881699,-60.550155242028296,2116,3565,4684,4781,1058.5795093795093,1709.66,61.91754555756754,17.446622907153728,6,9,FALSE,1325.410901377647,32.11480712890625,32.08182144165039,16.888484954833984,38.242897033691406,2.704080581665039,7.312051296234131,11721.904296875,-0.7613773345947266,5.425337791442871,20.983734130859375,21.16107749938965,9.0781888961792,25.41657829284668,2.0868308544158936,4.354862689971924,7659.0634765625,-1.67902672290802,8.62381362915039,4.857140064239502,1.496932864189148,0,87.3439712524414,8.911462783813477,79.41416931152344,1772.8560791015625,4.306299209594727,30.573333740234375,73.50447845458984,74.80314636230469,50.393699645996094,91.33858489990234,10.31137466430664,106.32444763183594,26829.134765625,-0.3210855722427368,1.906114935874939,1.0697875022888184,1.0629920959472656,0.29527559876441956,2.539370059967041,0.3850565552711487,0.14826855063438416,390.4724426269531,0.5370091795921326,3.5133168697357178
SUNOVA,SS-72MDH,550,10,GROWATT,4.2,1,8430,4.2,5.5,1.30952380952381,Cacoal,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,21.28,MIN-2.5-6-TL-X,98.4,97.5,2,2,1,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1532.7272727272727,1687.03,90.85358723480155,22.91258969341161,2,2,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
SUNOVA,SS-72MDH,550,12,GROWATT,10,1,10613,10,6.6,0.66,Cacoal,TRUE,TRUE,TRUE,0.048,-0.28,-0.35,21.28,MIN-TL-X,98.1,97.6,3,4,1.33333333333333,1100049,-11.4338650286851,-61.4429442118224,2134,3374,4622,4697,1608.0303030303032,1687.03,95.31723223833028,12.115296803652969,3,4,FALSE,1307.8670337676097,33.60478210449219,33.49177551269531,19.69130516052246,40.15701675415039,2.9646542072296143,8.789175033569336,12265.74609375,-0.42270010709762573,3.808727502822876,22.363067626953125,22.511215209960938,11.77846622467041,26.271095275878906,1.9915586709976196,3.966305732727051,8162.51953125,-1.2525891065597534,6.418252944946289,4.467038154602051,1.270332932472229,0,40.54078674316406,6.65342903137207,44.26811981201172,1630.4688720703125,2.2101423740386963,8.760677337646484,75.99395751953125,76.77165222167969,52.362205505371094,91.73228454589844,9.807430267333984,96.1856918334961,27737.794921875,-0.34299129247665405,2.006253719329834,0.9131700992584229,0.8858267664909363,0.35433071851730347,2.8346457481384277,0.33073344826698303,0.10938460379838943,333.3070983886719,1.2250787019729614,7.382097244262695
TSUN,TSM472H,550,12,GOODWE,5,2,10568,10,6.6,0.66,Rolim de Moura,TRUE,TRUE,FALSE,0.043,-0.26,-0.36,21.5,GW-BD-NS,97.8,97.5,2,2,1,1100288,-11.722258913380701,-61.78578093518539,2140,3392,4634,4710,1601.2121212121212,1691.41,94.66729658758794,12.06392694063927,4,4,FALSE,1311.2626210469718,33.386375427246094,33.25251007080078,19.26404571533203,39.61012649536133,2.84541654586792,8.096395492553711,12186.02734375,-0.5260751843452454,4.258552074432373,22.096317291259766,22.32322120666504,11.44520378112793,25.792566299438477,1.9760069847106934,3.9046034812927246,8065.15576171875,-1.3589996099472046,6.663136005401611,4.3303632736206055,1.4007996320724487,0,40.89785385131836,6.684950828552246,44.688568115234375,1580.5826416015625,2.526022434234619,10.957775115966797,75.705963134765625,76.3779525756836,52.362205505371094,91.73228454589844,9.657903671264648,93.27510833740234,27632.677734375,-0.3703235685825348,2.0272791385650635,0.949250340461731,0.9448819160461426,0.35433071851730347,2.8346457481384277,0.3193894326686859,0.1020096018910408,346.47637939453125,1.2862876653671265,8.110570907592773
