"";"PR_GHI";"PR_GHI_pdf_percentage_above"
"186";41,85;99,9977972484096
"187";41,86;99,9977972484096
"188";41,87;99,9977972484096
"189";41,88;99,9977972484096
"190";41,89;99,9977972484096
"191";41,9;99,9977972484096
"192";41,91;99,9977972484096
"193";41,92;99,9977972484096
"194";41,93;99,9977972484096
"195";41,94;99,9977972484096
"196";41,95;99,9977972484096
"197";41,96;99,9977972484096
"198";41,97;99,9977972484096
"199";41,98;99,9977972484096
"200";41,99;99,9977972484096
"201";42;99,9977972484096
"202";42,01;99,9977972484096
"203";42,02;99,9977972484096
"204";42,03;99,9977972484096
"205";42,04;99,9977972484096
"206";42,05;99,9977972484096
"207";42,06;99,9977972484096
"208";42,07;99,9977972484096
"209";42,08;99,9977972484096
"210";42,09;99,9977972484096
"211";42,1;99,9977972484096
"212";42,11;99,9977972484096
"213";42,12;99,9977972484096
"214";42,13;99,9977972484096
"215";42,14;99,9977972484096
"216";42,15;99,9977972484096
"217";42,16;99,9977972484096
"218";42,17;99,9977972484096
"219";42,18;99,9977972484096
"220";42,19;99,9977972484096
"221";42,2;99,9977972484096
"222";42,21;99,9977972484096
"223";42,22;99,9977972484096
"224";42,23;99,9977972484096
"225";42,24;99,9977972484096
"226";42,25;99,9977972484096
"227";42,26;99,9977972484096
"228";42,27;99,9977972484096
"229";42,28;99,9977972484096
"230";42,29;99,9977972484096
"231";42,3;99,9977972484096
"232";42,31;99,9977972484096
"233";42,32;99,9977972484096
"234";42,33;99,9977972484096
"235";42,34;99,9977972484096
"236";42,35;99,9977972484096
"237";42,36;99,9977972484096
"238";42,37;99,9977972484096
"239";42,38;99,9977972484096
"240";42,39;99,9977972484096
"241";42,4;99,9977972484096
"242";42,41;99,9977972484096
"243";42,42;99,9977972484096
"244";42,43;99,9977972484096
"245";42,44;99,9977972484096
"246";42,45;99,9977972484096
"247";42,46;99,9977972484096
"248";42,47;99,9977972484096
"249";42,48;99,9977972484096
"250";42,49;99,9977972484096
"251";42,5;99,9977972484096
"252";42,51;99,9977972484096
"253";42,52;99,9977972484096
"254";42,53;99,9977972484096
"255";42,54;99,9977972484096
"256";42,55;99,9977972484096
"257";42,56;99,9977972484096
"258";42,57;99,9977972484096
"259";42,58;99,9977972484096
"260";42,59;99,9977972484096
"261";42,6;99,9977972484096
"262";42,61;99,9977972484096
"263";42,62;99,9977972484096
"264";42,63;99,9977972484096
"265";42,64;99,9977972484096
"266";42,65;99,9977972484096
"267";42,66;99,9977972484096
"268";42,67;99,9977972484096
"269";42,68;99,9977972484096
"270";42,69;99,9977972484096
"271";42,7;99,9977972484096
"272";42,71;99,9977972484096
"273";42,72;99,9977972484096
"274";42,73;99,9977972484096
"275";42,74;99,9977972484096
"276";42,75;99,9977972484096
"277";42,76;99,9977972484096
"278";42,77;99,9977972484096
"279";42,78;99,9977972484096
"280";42,79;99,9977972484096
"281";42,8;99,9977972484096
"282";42,81;99,9977972484096
"283";42,82;99,9977972484096
"284";42,83;99,9977972484096
"285";42,84;99,9977972484096
"286";42,85;99,9977972484096
"287";42,86;99,9977972484096
"288";42,87;99,9977972484096
"289";42,88;99,9977972484096
"290";42,89;99,9977972484096
"291";42,9;99,9977972484096
"292";42,91;99,9977972484096
"293";42,92;99,9977972484096
"294";42,93;99,9977972484096
"295";42,94;99,9977972484096
"296";42,95;99,9977972484096
"297";42,96;99,9977972484096
"298";42,97;99,9977972484096
"299";42,98;99,9977972484096
"300";42,99;99,9977972484096
"301";43;99,9977972484096
"302";43,01;99,9977972484096
"303";43,02;99,9977972484096
"304";43,03;99,9977972484096
"305";43,04;99,9977972484096
"306";43,05;99,9977972484096
"307";43,06;99,9977972484096
"308";43,07;99,9977972484096
"309";43,08;99,9977972484096
"310";43,09;99,9977972484096
"311";43,1;99,9977972484096
"312";43,11;99,9977972484096
"313";43,12;99,9977972484096
"314";43,13;99,9977972484096
"315";43,14;99,9977972484096
"316";43,15;99,9977972484096
"317";43,16;99,9977972484096
"318";43,17;99,9977972484096
"319";43,18;99,9977972484096
"320";43,19;99,9977972484096
"321";43,2;99,9977972484096
"322";43,21;99,9977972484096
"323";43,22;99,9977972484096
"324";43,23;99,9977972484096
"325";43,24;99,9977972484096
"326";43,25;99,9977972484096
"327";43,26;99,9977972484096
